文件名,rawText值
japanese_shorts_001.html,「このドーナツ 美味しいね」「うん もう3個食べちゃったよ」
japanese_shorts_002.html,「いい写真ですね ご家族ですか？」「ええ 去年ハワイに行った時のです」
japanese_shorts_003.html,「今日は暑いですね」「暑いですね、もう夏ですね」
japanese_shorts_004.html,「先生と会えなかったんですか」「はい、すごく残念です」
japanese_shorts_005.html,「今日のお店美味しかったから また行こうね」「うん すごく気に入った」
japanese_shorts_006.html,「会議は10時からですね」「はい 確かそうだったと思います」
japanese_shorts_007.html,「じゃあ私たちは先に行ってますね」「はい、そうしてください」
japanese_shorts_008.html,「風邪を引かないよう気をつけてくださいね」「はい、ありがとうございます」
japanese_shorts_009.html,「野菜もちゃんと食べてね」「はいはい」
japanese_shorts_010.html,「ねえ、部長見なかった？」「今日はもう帰ったよ。」
japanese_shorts_011.html,「ちょっと手伝ってくれませんか？」「ええ、いいですよ。」
japanese_shorts_012.html,「すみません、この辺にコンビニはありませんか？」「ここを真っ直ぐ行くとありますよ。」
japanese_shorts_013.html,「このペン、ちょっと借りるよ。」「どうぞ。」
japanese_shorts_014.html,「ねえ、もう帰ろう。6時過ぎてるよ。」「そうだね。ごめんごめん。」
japanese_shorts_015.html,「これとこれ、どっちがいい？」「ああ、安い方でいいよ。」
japanese_shorts_016.html,「ほら、これだよ。この前言ってた本。」「ああ、これね。知ってるよ、この本。」
japanese_shorts_017.html,「真面目に話してるんだから、ちゃんと聞いてよ。」「ごめんごめん。」
japanese_shorts_018.html,「触っちゃダメだよ。危ないから。」「あ、はい。」
japanese_shorts_019.html,「ねえ、部長見なかった？」「今日はもう帰ったよ。」
